City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,una,20.8167,71.0333,17.35,37,0,5.17,IN,1736808383
111,puerto baquerizo moreno,-0.9,-89.6,23.55,94,100,5.14,EC,1736808384
112,hawaiian paradise park,19.5933,-154.9731,23.82,90,100,4.63,US,1736808385
113,uturoa,-16.7333,-151.4333,27.72,78,35,13.06,PF,1736808386
114,frontera,26.9333,-101.45,13.51,49,45,2.68,MX,1736808387
115,ulladulla,-35.35,150.4667,25.19,65,49,1.9,AU,1736808388
116,rehoboth,-23.3167,17.0833,24.13,26,11,3.92,NA,1736808389
117,albany,42.6001,-73.9662,-1.32,73,70,4.84,US,1736808232
118,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.9,PT,1736808391
119,steamboat springs,40.485,-106.8317,-7.28,76,100,1.54,US,1736808393
120,papao,-17.75,-149.55,24.82,81,60,13.28,PF,1736808394
121,ternate,0.8,127.4,26.43,82,97,3.54,ID,1736808395
122,kayangel,8.0823,134.7173,28.54,79,95,10.5,PW,1736808396
123,rocha,-34.4833,-54.3333,20.62,68,67,5.75,UY,1736808339
124,kuta,-8.7233,115.1723,25.97,94,40,1.03,ID,1736808398
125,st. john's,47.5649,-52.7093,0.54,92,100,6.17,CA,1736808155
126,lagdo,9.05,13.7333,22.83,24,36,0.94,CM,1736808400
127,papatowai,-46.5619,169.4708,15.46,65,81,4.89,NZ,1736808401
128,zhanaozen,43.3,52.8,1.5,95,0,0.92,KZ,1736808402
129,mirny,62.5353,113.9611,-25.75,96,100,4.02,RU,1736808404
130,oltinko'l,40.8011,72.1634,0.09,50,0,2.36,UZ,1736808405
131,suva,-18.1416,178.4415,28.71,70,40,1.54,FJ,1736808406
132,palpa,-14.5336,-75.1856,26.64,54,54,4.23,PE,1736808407
133,port mathurin,-19.6833,63.4167,26.05,80,8,7.5,MU,1736808408
134,markala,13.7021,-6.0659,23.39,15,27,3.81,ML,1736808409
135,taroa,8.7058,171.2275,27.08,78,28,11.09,MH,1736808410
136,aasiaat,68.7098,-52.8699,-32.11,100,91,2.39,GL,1736808411
137,fortuna,40.5982,-124.1573,14.96,67,0,4.63,US,1736808412
138,boca do acre,-8.7522,-67.3978,23.46,91,100,1.5,BR,1736808414
139,puerto armuelles,8.2833,-82.8667,26.72,76,100,0.45,PA,1736808415
140,tolanaro,-25.0319,46.9987,28.04,83,20,11.83,MG,1736808342
141,kailua-kona,19.6406,-155.9956,27.93,65,20,5.14,US,1736808236
142,qaqortoq,60.7167,-46.0333,-15.49,87,58,3.33,GL,1736808418
143,codrington,-38.2667,141.9667,22.82,50,5,4.18,AU,1736808419
144,charters towers,-20.1,146.2667,31.8,45,83,5.84,AU,1736808420
145,meadow lakes,61.6247,-149.6011,2.69,93,100,0.0,US,1736808421
146,avarua,-21.2078,-159.775,22.03,94,100,2.57,CK,1736808422
147,khandyga,62.6667,135.6,-27.69,100,100,0.99,RU,1736808424
148,petropavlovsk-kamchatsky,53.0452,158.6483,-17.67,60,0,5.0,RU,1736808425
149,zaozersk,69.4005,32.4476,-2.07,96,100,3.35,RU,1736808426
150,poli,-3.3333,36.8,17.22,68,79,2.66,TZ,1736808427
151,chibougamau,49.9168,-74.3659,-11.21,92,100,1.54,CA,1736808428
152,al kharijah,25.4514,30.5464,15.05,36,32,3.01,EG,1736808429
153,howard springs,-12.497,131.047,27.95,89,100,0.92,AU,1736808430
154,nuuk,64.1835,-51.7216,-14.66,85,20,6.17,GL,1736808273
155,fort mcmurray,56.7268,-111.381,-8.23,86,100,2.06,CA,1736808432
156,saint-joseph,-21.3667,55.6167,25.21,78,48,2.0,RE,1736808434
157,talnakh,69.4865,88.3972,-20.75,94,100,4.36,RU,1736808225
158,touros,-5.1989,-35.4608,25.63,87,98,2.57,BR,1736808436
159,luderitz,-26.6481,15.1594,16.74,87,0,7.2,NA,1736808437
160,stara vyzhivka,51.4376,24.44,-3.43,83,6,3.97,UA,1736808438
161,conduaga,8.862,117.4893,24.92,85,97,1.67,PH,1736808439
162,volodarka,49.5248,29.9122,-4.31,95,94,3.02,UA,1736808440
163,lihue,21.9789,-159.3672,26.77,69,40,5.66,US,1736808442
164,vorgashor,67.5833,63.95,-11.7,93,100,9.22,RU,1736808444
165,machico,32.7,-16.7667,19.35,48,20,7.72,PT,1736808445
166,pyin oo lwin,22.0333,96.4667,11.84,70,0,0.95,MM,1736808446
167,kahriz,34.3838,47.0553,1.04,80,0,1.03,IR,1736808447
168,newman,37.3138,-121.0208,15.58,35,0,2.68,US,1736808448
169,ramhormoz,31.28,49.6035,13.47,56,0,2.64,IR,1736808449
170,louiseville,46.2559,-72.9415,-4.05,86,100,4.12,CA,1736808450
171,kisangani,0.5167,25.2,22.36,47,95,0.83,CD,1736808451
172,thames,-37.1333,175.5333,21.84,39,0,1.35,NZ,1736808453
173,oyama,36.3,139.8,4.03,47,21,1.39,JP,1736808454
174,kidal,18.4411,1.4078,19.62,15,97,3.39,ML,1736808455
175,constantia,44.1833,28.65,0.39,69,100,8.31,RO,1736808341
176,thompson,55.7435,-97.8558,-17.91,78,100,2.06,CA,1736808457
177,navojoa,27.1,-109.4333,24.03,19,19,2.93,MX,1736808458
178,mazatlan,23.2167,-106.4167,26.98,61,20,1.54,MX,1736808357
179,lesosibirsk,58.2358,92.4828,-7.02,88,100,5.69,RU,1736808460
180,karor,31.2274,70.9492,12.36,47,80,0.56,PK,1736808461
181,bireun,5.203,96.7009,24.01,92,93,2.81,ID,1736808462
182,surgut,61.25,73.4167,-5.9,86,40,6.0,RU,1736808464
183,broken hill,-31.95,141.4333,30.53,25,0,4.75,AU,1736808465
184,san patricio,28.017,-97.5169,16.97,46,46,4.79,US,1736808466
185,mumbwa,-14.9783,27.0619,21.26,77,94,1.53,ZM,1736808467
186,ushtobe,45.2514,77.9838,-11.47,90,5,1.74,KZ,1736808468
187,lebu,-37.6167,-73.65,14.52,74,45,9.06,CL,1736808469
188,port alfred,-33.5906,26.891,18.43,92,4,3.12,ZA,1736808470
189,shagonar,51.5333,92.8,-24.61,100,100,1.3,RU,1736808471
190,nema,57.5067,50.5011,-7.03,97,98,1.98,RU,1736808472
191,reggane,26.7158,0.1714,12.56,30,0,6.47,DZ,1736808473
192,huangmei,30.1924,116.025,10.44,34,100,0.92,CN,1736808476
193,sakaiminato,35.55,133.2333,3.99,87,75,1.54,JP,1736808477
194,greenville,35.6127,-77.3663,7.01,64,0,0.0,US,1736808348
195,sao vicente,-23.9631,-46.3919,24.97,26,25,4.02,BR,1736808479
196,ust-nera,64.5667,143.2,-36.33,93,96,0.87,RU,1736808480
197,grants pass,42.439,-123.3284,11.38,70,0,3.09,US,1736808316
198,manokwari,-0.8667,134.0833,26.77,74,95,0.76,ID,1736808482
199,galle,6.0367,80.217,24.15,88,100,2.04,LK,1736808483
200,sukuta,13.4103,-16.7082,21.01,73,0,2.57,GM,1736808485
201,epping,-33.7727,151.0818,26.29,72,98,0.89,AU,1736808486
202,quellon,-43.1167,-73.6167,13.31,63,100,0.5,CL,1736808487
203,vilyuchinsk,52.9306,158.4028,-16.85,80,4,3.31,RU,1736808488
204,nouadhibou,20.931,-17.0347,18.99,68,0,6.17,MR,1736808489
205,rabaul,-4.1967,152.1721,28.81,71,43,2.26,PG,1736808490
206,egilsstadir,65.2653,-14.3948,-0.05,93,98,2.06,IS,1736808491
207,chikhli,20.35,76.25,16.66,57,3,3.2,IN,1736808493
208,yemetsk,63.4721,41.7941,-5.99,88,100,5.16,RU,1736808495
209,kapuskasing,49.4169,-82.4331,-8.95,92,100,3.6,CA,1736808260
210,gazli,40.1333,63.45,3.53,42,63,2.96,UZ,1736808497
211,ancud,-41.8697,-73.8203,13.7,63,86,4.74,CL,1736808498
212,novodvinsk,64.4165,40.8122,-7.14,86,100,6.73,RU,1736808499
213,nar'yan-mar,67.6713,53.087,-8.41,95,97,5.02,RU,1736808263
214,la passe,45.5549,-0.8967,0.31,73,1,4.17,FR,1736808501
215,whitecourt,54.1502,-115.6855,5.58,52,75,10.8,CA,1736808502
216,edinburgh of the seven seas,-37.0676,-12.3116,15.89,92,100,8.3,SH,1736808503
217,lagunas,-5.2269,-75.6753,27.35,74,100,0.54,PE,1736808504
218,carnarvon,-24.8667,113.6333,24.71,73,1,11.75,AU,1736808506
219,geraldton,-28.7667,114.6,21.23,78,75,4.63,AU,1736808507
220,iquique,-20.2208,-70.1431,20.54,78,28,0.48,CL,1736808300
221,silver city,32.7701,-108.2803,7.04,36,0,2.68,US,1736808511
222,realico,-35.0366,-64.2447,36.56,15,51,3.28,AR,1736808493
223,trairi,-3.2778,-39.2689,24.96,89,89,2.43,BR,1736808281
224,hamilton,39.1834,-84.5333,-2.53,56,0,4.12,US,1736808514
225,bikenibeu village,1.3673,173.1241,28.98,84,75,4.63,KI,1736808516
226,namibe,-15.1961,12.1522,21.35,81,75,1.49,AO,1736808517
